NAME,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIPS,FIPS,POPULATION,POP_SQMI,SQMI,Homicide_Prev,Hospital,Transit,sum_Area_SquareKilometers,Polygon_Count,AnalysisArea,Homicide
San Patricio County,Texas,TX,48,409,48409,68755,97.6,704.75,0.06209737,0.00462196,0.00191792,1799.225996,2,1804.30277,-0.06209737
San Saba County,Texas,TX,48,411,48411,5730,5,1138.52,0.00039929,0.00000081,0.00166739,2958.742192,1,2958.742191,-0.00039929
Schleicher County,Texas,TX,48,413,48413,2451,1.9,1310.69,0.00046806,0.00000095,0.9765713,3477.786172,1,3477.786175,-0.00046806
Scurry County,Texas,TX,48,415,48415,16932,18.7,907.54,0.00031795,0.00000065,0.42023093,2316.566418,1,2316.566417,-0.00031795
Shackelford County,Texas,TX,48,417,48417,3105,3.4,915.55,0.00032086,0.00000065,0.00198885,2337.78125,1,2337.781248,-0.00032086
Shelby County,Texas,TX,48,419,48419,24022,28.8,834.62,0.00029087,0.00000059,0.00170765,2141.008671,1,2147.463041,-0.00029087
Sherman County,Texas,TX,48,421,48421,2782,3,923.02,0.00034113,0.00000069,0.00055437,2384.028084,1,2384.29125,-0.00034113
Smith County,Texas,TX,48,423,48423,233479,245.8,949.72,0.00032956,0.00354806,0.00189794,2410.61557,1,2410.615569,-0.00032956
Somervell County,Texas,TX,48,425,48425,9205,48,191.86,6.76E-05,0.00000014,0.00063513,495.5453924,1,495.5453927,-0.0000676
Starr County,Texas,TX,48,427,48427,65920,53.6,1229.11,0.00039966,0.00000081,0.00092005,3092.439063,1,3097.614056,-0.00039966
Stephens County,Texas,TX,48,429,48429,9101,9.9,921.49,0.00032481,0.00000066,0.00060145,2366.54702,1,2366.547021,-0.00032481
Sterling County,Texas,TX,48,431,48431,1372,1.5,923.51,0.0003251,0.00000066,0.00198605,2391.96226,1,2391.962259,-0.0003251
Stonewall County,Texas,TX,48,433,48433,1245,1.4,920.24,0.00033023,0.00000067,0.00186079,2394.395391,1,2394.395394,-0.00033023
Sutton County,Texas,TX,48,435,48435,3372,2.3,1454.44,0.00048915,0.00000099,0.00198764,3649.24374,1,3649.243736,-0.00048915
Swisher County,Texas,TX,48,437,48437,6971,7.7,900.69,0.00033102,0.00000067,0.00197294,2363.019475,1,2363.019478,-0.00033102
Tarrant County,Texas,TX,48,439,48439,2110640,2335.3,903.81,0.32663401,0.03067955,0.00195973,2329.155952,5,2329.15595,-0.32663401
Taylor County,Texas,TX,48,441,48441,143208,155.8,919.3,0.00032901,0.00000067,0.00196064,2408.593666,1,2408.593668,-0.00032901
Terrell County,Texas,TX,48,443,48443,760,0.3,2358.06,0.00084193,0.00000171,0.00195894,6297.478057,1,6299.670372,-0.00084193
Terry County,Texas,TX,48,445,48445,11831,13.3,890.94,0.00031977,0.00000065,0.00201338,2318.663428,1,2318.663429,-0.00031977
Throckmorton County,Texas,TX,48,447,48447,1440,1.6,915.48,0.00032374,0.00000066,2.47890045,2347.263219,1,2347.263221,-0.00032374
Titus County,Texas,TX,48,449,48449,31247,73.4,425.64,0.0001478,0.0000003,16.37630554,1071.098668,1,1071.098669,-0.0001478
Tom Green County,Texas,TX,48,451,48451,120003,77.9,1540.55,0.00054784,0.00000111,0.00209792,4048.895801,1,4048.895798,-0.00054784
Travis County,Texas,TX,48,453,48453,1290188,1258.7,1025.03,0.00036464,0.01073662,0.00209257,2724.66512,1,2724.665123,-0.00036464
Trinity County,Texas,TX,48,455,48455,13602,19.1,713.97,0.0002524,0.00000051,0.00333068,1871.53775,1,1871.537748,-0.0002524
Tyler County,Texas,TX,48,457,48457,19798,21.2,935.62,0.00033094,0.00000067,0.00209258,2461.985637,1,2461.985639,-0.00033094
Upshur County,Texas,TX,48,459,48459,40892,69,592.59,0.00021369,0.00010856,0.00211886,1556.871098,1,1556.871098,-0.00021369
